Region,Product,Sales,CustomerID,EmployeeName
East,Tablet,757,10001,David
West,Headphones,544,10002,Emma
North,Headphones,8960,10003,Charlie
East,Phone,1834,10004,Alice
East,Laptop,1171,10005,David
West,Headphones,7500,10006,Charlie
North,Phone,4138,10007,Alice
North,Tablet,6585,10008,Charlie
East,Tablet,734,10009,Charlie
South,Tablet,7334,10010,Emma
East,Tablet,3707,10011,David
East,Phone,6064,10012,Emma
East,Laptop,2900,10013,Bob
East,Phone,5589,10014,Charlie
West,Laptop,8051,10015,David
North,Tablet,5505,10016,Bob
West,Headphones,7990,10017,Bob
West,Headphones,8240,10018,Emma
West,Headphones,9131,10019,Bob
East,Laptop,5682,10020,Alice
South,Tablet,1150,10021,Alice
North,Phone,533,10022,Alice
South,Headphones,3532,10023,Bob
West,Laptop,8144,10024,Charlie
West,Headphones,1610,10025,David
South,Phone,9153,10026,Alice
South,Tablet,9013,10027,Alice
South,Phone,5010,10028,Alice
West,Tablet,2374,10029,Emma
West,Tablet,3539,10030,Emma
North,Tablet,1756,10031,Alice
North,Headphones,3740,10032,Alice
West,Phone,4763,10033,Emma
South,Headphones,5769,10034,David
South,Phone,8217,10035,Charlie
North,Laptop,1909,10036,David
West,Laptop,2332,10037,Charlie
North,Phone,2524,10038,Bob
North,Phone,6236,10039,Bob
East,Phone,5493,10040,David
East,Phone,8134,10041,Emma
East,Tablet,5457,10042,Alice
South,Headphones,3713,10043,Bob
West,Tablet,6708,10044,Emma
West,Headphones,6953,10045,Emma
West,Headphones,3253,10046,Charlie
West,Headphones,7828,10047,Bob
East,Tablet,805,10048,David
South,Phone,1884,10049,Emma
South,Tablet,3867,10050,David
East,Tablet,2074,10051,David
South,Headphones,1372,10052,Bob
East,Laptop,8860,10053,David
West,Laptop,6078,10054,David
East,Tablet,1530,10055,Alice
West,Headphones,8264,10056,David
West,Tablet,7231,10057,Alice
North,Tablet,7405,10058,Bob
East,Phone,4942,10059,David
North,Headphones,4167,10060,Emma
East,Laptop,1776,10061,David
East,Laptop,7053,10062,Alice
North,Laptop,1042,10063,Emma
North,Tablet,9046,10064,Bob
East,Headphones,5308,10065,Charlie
South,Phone,8231,10066,Charlie
West,Laptop,1083,10067,Alice
North,Headphones,1010,10068,Bob
West,Laptop,7176,10069,Bob
South,Phone,7171,10070,David
South,Headphones,9638,10071,Charlie
South,Tablet,8195,10072,David
North,Tablet,3973,10073,Bob
South,Laptop,1698,10074,Alice
North,Laptop,4495,10075,Alice
South,Headphones,5035,10076,Emma
West,Phone,6371,10077,Alice
West,Laptop,3803,10078,Charlie
East,Headphones,2947,10079,Emma
West,Phone,9908,10080,Charlie
East,Laptop,8239,10081,David
West,Laptop,7344,10082,David
North,Headphones,1790,10083,Alice
West,Laptop,6334,10084,Emma
East,Tablet,8049,10085,Charlie
East,Phone,7187,10086,Charlie
South,Phone,9193,10087,Bob
North,Tablet,7928,10088,Alice
West,Headphones,886,10089,David
South,Tablet,9103,10090,Bob
West,Tablet,2506,10091,David
West,Phone,5713,10092,David
South,Headphones,2647,10093,Charlie
South,Laptop,4368,10094,David
South,Tablet,6537,10095,Emma
South,Tablet,7137,10096,David
South,Headphones,852,10097,Emma
West,Tablet,5464,10098,David
South,Headphones,3688,10099,Bob
North,Laptop,1802,10100,Charlie
East,Headphones,8249,10101,Bob
South,Laptop,1346,10102,Charlie
South,Headphones,8021,10103,Bob
West,Tablet,9217,10104,Alice
South,Laptop,3024,10105,David
South,Tablet,2378,10106,David
South,Laptop,4605,10107,Alice
West,Headphones,4130,10108,Alice
South,Headphones,8170,10109,Emma
East,Headphones,7167,10110,Bob
West,Phone,3319,10111,David
East,Phone,6479,10112,Emma
West,Laptop,8577,10113,David
South,Phone,9750,10114,Alice
East,Headphones,2989,10115,Emma
West,Phone,6188,10116,Emma
North,Phone,3764,10117,Emma
South,Tablet,6523,10118,Bob
West,Laptop,2793,10119,Emma
North,Laptop,1174,10120,David
West,Laptop,6757,10121,Bob
North,Phone,1511,10122,David
South,Headphones,9485,10123,Emma
East,Tablet,732,10124,Emma
North,Laptop,3527,10125,David
West,Phone,4109,10126,Charlie
South,Headphones,2673,10127,Emma
North,Tablet,3884,10128,Emma
West,Tablet,2828,10129,Bob
West,Laptop,1297,10130,David
West,Laptop,7621,10131,Emma
North,Headphones,4184,10132,David
North,Phone,4987,10133,Bob
North,Headphones,8190,10134,David
East,Laptop,3089,10135,David
North,Headphones,5201,10136,Bob
North,Phone,9200,10137,Emma
North,Tablet,8167,10138,David
East,Tablet,6914,10139,Charlie
North,Tablet,1963,10140,Emma
West,Tablet,3610,10141,Bob
North,Laptop,1547,10142,Alice
West,Laptop,5371,10143,Charlie
West,Phone,5789,10144,Emma
West,Phone,4935,10145,Bob
East,Phone,8860,10146,Charlie
East,Phone,2061,10147,Emma
East,Headphones,8359,10148,Alice
North,Phone,7305,10149,Emma
West,Tablet,8312,10150,Alice
East,Tablet,6786,10151,Alice
East,Tablet,8343,10152,David
North,Headphones,1074,10153,Bob
East,Phone,4516,10154,David
North,Tablet,7727,10155,Alice
South,Tablet,4524,10156,Bob
East,Tablet,9222,10157,Bob
South,Tablet,1490,10158,Bob
North,Laptop,2620,10159,Charlie
West,Phone,5464,10160,Emma
East,Phone,2941,10161,Alice
North,Headphones,6377,10162,Bob
West,Laptop,3020,10163,Charlie
West,Headphones,4908,10164,Charlie
South,Tablet,1451,10165,Alice
North,Headphones,1464,10166,David
West,Tablet,2634,10167,Charlie
East,Tablet,4954,10168,Alice
East,Phone,9386,10169,Charlie
South,Phone,2744,10170,Alice
West,Phone,3303,10171,Bob
North,Phone,4411,10172,David
East,Phone,1908,10173,Charlie
West,Laptop,5737,10174,Charlie
West,Phone,5093,10175,Charlie
South,Headphones,8551,10176,Emma
East,Tablet,9153,10177,Emma
East,Phone,8163,10178,Bob
North,Laptop,7613,10179,Charlie
East,Headphones,8642,10180,David
North,Headphones,6877,10181,Emma
East,Tablet,9108,10182,Alice
South,Headphones,6101,10183,Alice
East,Headphones,1888,10184,Alice
North,Headphones,6796,10185,Bob
North,Headphones,4867,10186,Charlie
South,Laptop,4478,10187,Charlie
East,Tablet,4990,10188,Emma
East,Phone,1352,10189,Alice
South,Headphones,6877,10190,Bob
East,Laptop,7001,10191,David
East,Tablet,8614,10192,Charlie
North,Phone,8928,10193,Charlie
East,Tablet,1556,10194,Bob
East,Laptop,2760,10195,Emma
South,Laptop,9717,10196,Bob
South,Laptop,1408,10197,Emma
West,Headphones,949,10198,Charlie
North,Laptop,1068,10199,Emma
East,Phone,3998,10200,Emma
East,Headphones,6370,10201,Emma
West,Tablet,1808,10202,Emma
East,Phone,1217,10203,Alice
North,Headphones,9661,10204,Alice
West,Laptop,3845,10205,Alice
North,Tablet,7714,10206,Alice
West,Laptop,8182,10207,Bob
West,Phone,3218,10208,David
South,Phone,9595,10209,Emma
North,Headphones,1955,10210,Bob
East,Phone,7797,10211,Alice
East,Tablet,7535,10212,Emma
North,Headphones,4730,10213,David
East,Tablet,1031,10214,Emma
East,Laptop,2767,10215,Charlie
North,Tablet,832,10216,Charlie
West,Tablet,5749,10217,Bob
North,Phone,7699,10218,David
West,Laptop,6221,10219,Bob
East,Phone,8512,10220,Emma
East,Laptop,8428,10221,David
East,Laptop,7000,10222,Bob
South,Tablet,900,10223,Emma
West,Phone,7539,10224,Alice
South,Tablet,4491,10225,Emma
South,Tablet,1557,10226,Bob
North,Tablet,8433,10227,David
South,Laptop,3493,10228,David
North,Phone,8733,10229,Alice
North,Phone,526,10230,Bob
South,Tablet,4033,10231,Alice
West,Laptop,3118,10232,Charlie
West,Phone,9862,10233,Emma
West,Headphones,7139,10234,Charlie
West,Phone,7129,10235,Charlie
West,Tablet,8127,10236,Alice
South,Headphones,7542,10237,Alice
South,Laptop,9402,10238,Emma
East,Headphones,2518,10239,Alice
West,Headphones,5378,10240,Alice
South,Tablet,3398,10241,Alice
East,Phone,6575,10242,Alice
West,Laptop,2547,10243,Alice
North,Headphones,5702,10244,Charlie
East,Tablet,2058,10245,Charlie
South,Phone,2222,10246,Emma
North,Headphones,4552,10247,David
North,Tablet,2151,10248,Emma
North,Tablet,5722,10249,Bob
East,Tablet,2278,10250,Emma
South,Laptop,1183,10251,Emma
North,Phone,9971,10252,Alice
West,Headphones,2510,10253,Alice
North,Phone,9907,10254,Alice
North,Phone,3082,10255,David
East,Headphones,9005,10256,Alice
East,Phone,7943,10257,Bob
South,Laptop,5992,10258,Charlie
West,Headphones,943,10259,Bob
East,Headphones,2171,10260,David
North,Tablet,3766,10261,Alice
South,Phone,7925,10262,Emma
North,Headphones,6409,10263,Charlie
North,Headphones,7514,10264,David
East,Laptop,5979,10265,Bob
South,Tablet,8319,10266,Alice
West,Headphones,5641,10267,David
West,Laptop,1215,10268,David
East,Headphones,1391,10269,Emma
East,Headphones,4307,10270,Emma
South,Headphones,1000,10271,Emma
West,Laptop,3140,10272,Bob
West,Phone,9394,10273,Emma
West,Headphones,2833,10274,David
North,Headphones,2694,10275,David
West,Phone,7437,10276,David
North,Headphones,9075,10277,Charlie
South,Tablet,9577,10278,Charlie
North,Headphones,2091,10279,Bob
South,Tablet,5559,10280,Emma
West,Phone,4898,10281,David
West,Laptop,4940,10282,Emma
South,Phone,2283,10283,David
East,Headphones,5885,10284,Charlie
South,Tablet,4617,10285,David
East,Laptop,7482,10286,Bob
North,Headphones,3083,10287,Alice
North,Laptop,8954,10288,David
North,Laptop,2930,10289,Bob
West,Headphones,6169,10290,Charlie
North,Phone,7560,10291,Charlie
East,Headphones,9083,10292,Alice
North,Headphones,3436,10293,Emma
South,Phone,9231,10294,Emma
South,Tablet,9807,10295,David
West,Headphones,7209,10296,Charlie
South,Laptop,9575,10297,Bob
East,Headphones,4823,10298,Alice
North,Headphones,7116,10299,Emma
West,Laptop,2919,10300,David
North,Phone,1899,10301,David
North,Tablet,2584,10302,Charlie
East,Tablet,8304,10303,Bob
South,Laptop,7487,10304,Bob
South,Phone,5656,10305,Emma
North,Headphones,5809,10306,David
West,Headphones,2035,10307,Charlie
South,Headphones,5253,10308,Bob
West,Headphones,8781,10309,David
South,Headphones,7548,10310,Bob
West,Laptop,4690,10311,Alice
East,Headphones,2154,10312,Bob
West,Headphones,8053,10313,Bob
East,Phone,7952,10314,David
East,Headphones,9057,10315,Bob
West,Tablet,4460,10316,Bob
East,Laptop,7334,10317,Alice
North,Laptop,5591,10318,Bob
East,Laptop,1018,10319,Bob
South,Tablet,4210,10320,David
West,Headphones,1329,10321,Charlie
North,Laptop,7127,10322,Alice
West,Tablet,8962,10323,Bob
South,Phone,8488,10324,Charlie
South,Headphones,3486,10325,David
South,Tablet,7275,10326,Alice
East,Headphones,7190,10327,David
East,Phone,5314,10328,Charlie
West,Tablet,9699,10329,Alice
West,Headphones,9296,10330,Bob
North,Tablet,676,10331,Charlie
North,Laptop,9328,10332,David
West,Headphones,6670,10333,Alice
East,Tablet,3123,10334,Charlie
South,Laptop,3278,10335,Charlie
West,Phone,4252,10336,David
North,Headphones,9352,10337,David
East,Headphones,4865,10338,Bob
West,Phone,4840,10339,Bob
West,Laptop,5255,10340,Charlie
East,Phone,8776,10341,David
West,Headphones,4170,10342,Charlie
East,Tablet,9598,10343,Emma
South,Laptop,4021,10344,David
East,Laptop,2375,10345,Emma
East,Laptop,4458,10346,Emma
East,Phone,2636,10347,David
West,Phone,9545,10348,Bob
West,Tablet,1006,10349,Charlie
East,Tablet,9099,10350,Alice
West,Laptop,5890,10351,Alice
North,Tablet,9215,10352,David
North,Phone,6113,10353,Bob
West,Tablet,7250,10354,Bob
West,Phone,3550,10355,Bob
East,Tablet,7592,10356,Alice
South,Headphones,2897,10357,Emma
West,Phone,8412,10358,Alice
North,Headphones,9019,10359,Bob
East,Phone,1809,10360,Alice
West,Tablet,7702,10361,Alice
North,Headphones,8200,10362,Charlie
North,Tablet,5218,10363,David
South,Phone,6450,10364,Emma
East,Headphones,1255,10365,Charlie
East,Laptop,645,10366,David
South,Tablet,5616,10367,Bob
South,Phone,4074,10368,Charlie
East,Headphones,5423,10369,David
East,Tablet,2358,10370,Charlie
West,Headphones,5222,10371,Alice
West,Tablet,4098,10372,Alice
South,Tablet,1129,10373,Charlie
West,Tablet,4018,10374,Charlie
North,Headphones,7058,10375,Emma
West,Headphones,4852,10376,Bob
West,Tablet,7929,10377,Alice
North,Laptop,9596,10378,Charlie
South,Laptop,6055,10379,David
North,Laptop,8497,10380,Bob
West,Phone,607,10381,David
South,Laptop,9734,10382,Bob
West,Headphones,5998,10383,David
North,Laptop,4755,10384,Alice
North,Headphones,4695,10385,Charlie
West,Phone,8956,10386,Charlie
East,Headphones,4321,10387,Emma
East,Headphones,1176,10388,Charlie
North,Headphones,5678,10389,Alice
North,Laptop,6066,10390,Bob
East,Tablet,4469,10391,Bob
East,Headphones,5920,10392,Charlie
West,Laptop,1107,10393,David
West,Laptop,6174,10394,Charlie
East,Laptop,6388,10395,Bob
West,Tablet,5832,10396,Emma
West,Tablet,7856,10397,Bob
South,Tablet,7286,10398,David
West,Tablet,2894,10399,David
North,Phone,8570,10400,Emma
West,Tablet,9852,10401,David
West,Tablet,5649,10402,Charlie
East,Tablet,6789,10403,Charlie
North,Headphones,2521,10404,Bob
West,Headphones,8284,10405,Alice
West,Tablet,5098,10406,Charlie
South,Phone,3515,10407,Charlie
West,Headphones,5810,10408,Emma
West,Laptop,2548,10409,Charlie
South,Headphones,6469,10410,Bob
East,Laptop,1393,10411,Emma
West,Headphones,9779,10412,Charlie
South,Tablet,6587,10413,Bob
North,Headphones,3433,10414,Emma
East,Tablet,2781,10415,Alice
North,Tablet,8764,10416,Bob
North,Headphones,1880,10417,Charlie
South,Laptop,983,10418,Emma
West,Laptop,9721,10419,Alice
South,Headphones,4279,10420,Bob
South,Tablet,6601,10421,Alice
South,Laptop,5454,10422,Bob
South,Phone,6453,10423,Charlie
East,Tablet,6780,10424,Bob
West,Headphones,1278,10425,Charlie
North,Tablet,3975,10426,Bob
North,Phone,5223,10427,Emma
West,Phone,7386,10428,Bob
North,Laptop,7213,10429,Bob
West,Phone,9101,10430,David
North,Tablet,1559,10431,David
South,Laptop,6873,10432,Bob
North,Phone,7894,10433,David
West,Laptop,2809,10434,Charlie
West,Laptop,2100,10435,David
West,Headphones,2733,10436,Bob
West,Laptop,7853,10437,Alice
West,Laptop,9989,10438,Alice
East,Phone,851,10439,Bob
East,Tablet,6969,10440,Bob
North,Tablet,9156,10441,Alice
West,Phone,3666,10442,Emma
North,Tablet,5753,10443,David
West,Laptop,2709,10444,Emma
West,Headphones,9247,10445,Charlie
East,Laptop,799,10446,Alice
East,Laptop,4366,10447,Alice
South,Headphones,9047,10448,Emma
East,Phone,1063,10449,Charlie
South,Laptop,5388,10450,Emma
South,Laptop,9714,10451,Charlie
South,Phone,1690,10452,Bob
South,Laptop,3710,10453,Bob
South,Laptop,6878,10454,Alice
North,Tablet,9718,10455,Bob
East,Phone,8947,10456,Emma
South,Laptop,2918,10457,Charlie
West,Laptop,3063,10458,Alice
East,Headphones,3451,10459,Bob
East,Headphones,7883,10460,Alice
South,Headphones,769,10461,Alice
North,Laptop,7119,10462,Charlie
South,Laptop,6147,10463,Emma
North,Headphones,9619,10464,Emma
West,Tablet,8755,10465,David
East,Tablet,5055,10466,Emma
West,Tablet,1542,10467,Bob
North,Tablet,5944,10468,David
North,Phone,5503,10469,David
West,Headphones,4688,10470,David
North,Laptop,9501,10471,David
West,Headphones,3588,10472,Emma
East,Tablet,2146,10473,David
West,Laptop,987,10474,Bob
East,Phone,3581,10475,Bob
West,Headphones,2247,10476,Alice
North,Laptop,9440,10477,Bob
West,Laptop,1027,10478,Alice
North,Tablet,1667,10479,Bob
West,Tablet,5110,10480,David
West,Headphones,4972,10481,Charlie
South,Phone,8161,10482,David
North,Laptop,6304,10483,Emma
South,Tablet,983,10484,Alice
North,Headphones,951,10485,Charlie
South,Tablet,4569,10486,Bob
East,Headphones,6155,10487,David
West,Tablet,7707,10488,Alice
North,Phone,4897,10489,Alice
North,Laptop,6171,10490,Bob
West,Tablet,3633,10491,Alice
North,Laptop,2273,10492,Bob
North,Headphones,6122,10493,Bob
South,Phone,9690,10494,David
North,Laptop,7912,10495,Alice
East,Tablet,2565,10496,Emma
East,Laptop,9089,10497,Emma
West,Laptop,6832,10498,David
North,Headphones,8413,10499,David
West,Phone,2446,10500,Bob
East,Phone,3915,10501,Emma
North,Laptop,1894,10502,Alice
North,Laptop,2921,10503,Emma
West,Headphones,4419,10504,David
East,Laptop,7845,10505,David
North,Headphones,3583,10506,Bob
West,Phone,8530,10507,Alice
East,Phone,8620,10508,David
West,Headphones,2344,10509,Alice
South,Laptop,2304,10510,Emma
North,Phone,9581,10511,Bob
South,Tablet,3003,10512,Emma
East,Headphones,2393,10513,David
South,Phone,2166,10514,David
South,Phone,4844,10515,Alice
East,Phone,7091,10516,David
West,Tablet,3565,10517,Alice
South,Tablet,5575,10518,Charlie
West,Tablet,3575,10519,David
South,Laptop,1759,10520,Emma
West,Headphones,2720,10521,Emma
East,Laptop,5941,10522,Alice
South,Tablet,9478,10523,Charlie
East,Headphones,5435,10524,David
South,Laptop,2947,10525,Bob
East,Laptop,3629,10526,Bob
East,Laptop,2398,10527,Emma
South,Tablet,8197,10528,David
South,Phone,7191,10529,Bob
South,Headphones,5003,10530,Alice
North,Tablet,4449,10531,David
