Region,Category,Sales,CustomerID,EmployeeName
East,Furniture,7623,5806,Alice
West,Furniture,8827,4976,Ethan
North,Food,2365,4092,Bob
East,Electronics,9669,1695,Alice
East,Clothing,3748,9277,Ethan
West,Clothing,7994,4178,Diana
North,Food,9415,1584,Diana
North,Food,520,4558,Bob
East,Clothing,7573,5814,Bob
South,Clothing,6672,4976,Bob
East,Electronics,414,2999,Bob
East,Food,6333,3187,Bob
East,Electronics,2586,6996,Diana
East,Food,5470,5409,Alice
West,Food,1700,1823,Diana
North,Electronics,5455,2686,Diana
West,Furniture,2717,7357,Ethan
West,Furniture,199,5492,Bob
West,Furniture,9182,5055,Diana
East,Food,9103,2424,Diana
South,Electronics,9713,4022,Diana
North,Furniture,4143,2191,Diana
South,Clothing,8536,4825,Diana
West,Furniture,3552,6437,Diana
West,Electronics,6405,6820,Ethan
South,Food,1113,2229,Charlie
South,Electronics,4489,9674,Alice
South,Food,345,2878,Diana
West,Electronics,9499,7537,Ethan
West,Electronics,3620,4520,Diana
North,Clothing,3339,5298,Bob
North,Furniture,9931,8460,Charlie
West,Furniture,3576,1888,Bob
South,Electronics,7683,6418,Charlie
South,Furniture,3695,9741,Charlie
North,Clothing,7933,6462,Bob
West,Electronics,1139,8191,Diana
North,Furniture,6449,2003,Charlie
North,Furniture,8187,2484,Ethan
East,Food,9278,2365,Charlie
East,Furniture,1059,1048,Bob
East,Furniture,2352,5457,Ethan
South,Food,4352,2382,Alice
West,Electronics,5634,2932,Charlie
West,Electronics,5026,1686,Diana
West,Clothing,398,3580,Charlie
West,Food,118,8031,Ethan
East,Electronics,9814,7863,Ethan
South,Furniture,8991,5440,Diana
South,Furniture,6539,7479,Alice
East,Furniture,724,5041,Diana
South,Clothing,2516,4678,Charlie
East,Electronics,1252,4955,Ethan
West,Food,1398,4948,Alice
East,Electronics,475,5941,Bob
West,Food,5307,6065,Ethan
West,Food,4092,8451,Ethan
North,Electronics,5159,1457,Bob
East,Furniture,6459,1815,Bob
North,Furniture,1482,3239,Diana
East,Food,951,6894,Charlie
East,Furniture,5700,3650,Bob
North,Clothing,9599,9839,Diana
North,Clothing,8774,1263,Alice
East,Food,9339,1258,Alice
South,Furniture,5263,8171,Alice
West,Food,9210,5755,Ethan
North,Clothing,2628,7275,Diana
West,Clothing,6321,5949,Charlie
South,Clothing,2465,7570,Bob
South,Electronics,8195,9242,Bob
South,Clothing,4711,3642,Ethan
North,Furniture,6113,9976,Diana
South,Electronics,6018,4954,Alice
North,Clothing,1834,7494,Bob
South,Furniture,1636,8345,Alice
West,Clothing,9841,7857,Alice
West,Furniture,1345,7312,Diana
East,Furniture,2633,9996,Diana
West,Clothing,1914,3569,Ethan
East,Clothing,3626,3787,Charlie
West,Electronics,9423,7107,Ethan
North,Clothing,6730,1467,Bob
West,Furniture,4588,6270,Bob
East,Food,4314,4075,Ethan
East,Electronics,1873,9889,Diana
South,Furniture,9057,5734,Bob
North,Furniture,6146,3864,Diana
West,Food,1680,6227,Ethan
South,Clothing,9953,4117,Ethan
West,Furniture,9962,8067,Bob
West,Food,8278,7312,Alice
South,Food,1187,2489,Charlie
South,Clothing,7273,2752,Diana
South,Food,3589,9501,Charlie
South,Food,6260,3603,Charlie
South,Food,8111,5860,Ethan
West,Food,2700,2177,Ethan
South,Food,2589,4968,Ethan
North,Food,6609,8373,Diana
East,Furniture,7622,2333,Charlie
South,Electronics,9728,7223,Charlie
South,Clothing,915,2313,Ethan
West,Electronics,8130,8684,Alice
South,Clothing,8523,8794,Ethan
South,Electronics,9776,7360,Ethan
South,Clothing,7357,8312,Bob
West,Food,7417,4559,Ethan
South,Electronics,8139,5373,Diana
East,Electronics,1578,4629,Charlie
West,Clothing,4584,6584,Ethan
East,Clothing,1431,2197,Alice
West,Furniture,1380,2081,Charlie
South,Food,2521,7285,Charlie
East,Food,2339,4871,Alice
West,Furniture,1505,5339,Bob
North,Clothing,7703,6242,Alice
South,Food,8470,8021,Diana
West,Clothing,6465,7131,Alice
North,Food,8184,1762,Bob
West,Electronics,8842,3517,Ethan
North,Electronics,6227,2127,Ethan
South,Food,4174,4646,Charlie
East,Food,5532,2640,Ethan
North,Food,5004,1973,Ethan
West,Furniture,5879,8810,Alice
South,Food,5753,8011,Charlie
North,Furniture,4352,8671,Charlie
West,Furniture,6033,1550,Alice
West,Electronics,8492,2349,Diana
West,Food,7656,2976,Diana
North,Electronics,3995,1276,Diana
North,Electronics,9638,2860,Alice
North,Furniture,4540,8612,Ethan
East,Clothing,2563,9394,Bob
North,Furniture,2244,5377,Diana
North,Electronics,6197,5070,Ethan
North,Furniture,8912,5470,Diana
East,Furniture,6983,1014,Bob
North,Furniture,1877,5419,Ethan
West,Food,3980,2068,Diana
North,Furniture,6784,4480,Alice
West,Electronics,1232,6745,Diana
West,Furniture,1054,9910,Charlie
West,Food,231,7945,Alice
East,Electronics,704,2618,Alice
East,Furniture,4761,2334,Bob
East,Electronics,7509,8781,Ethan
North,Food,1500,9775,Bob
West,Clothing,6547,4271,Alice
East,Food,2648,9595,Bob
East,Food,5859,9692,Ethan
North,Electronics,1985,8930,Alice
East,Electronics,438,3870,Diana
North,Clothing,5903,5668,Bob
South,Clothing,6658,3204,Alice
East,Clothing,1010,1621,Alice
South,Food,4096,2203,Diana
North,Food,9145,2170,Charlie
West,Clothing,4370,8533,Bob
East,Clothing,8119,2041,Ethan
North,Clothing,5600,7085,Diana
West,Furniture,4714,6406,Diana
West,Furniture,996,1005,Charlie
South,Clothing,8524,2281,Diana
North,Food,2858,5153,Bob
West,Electronics,9116,8599,Ethan
East,Food,8416,7443,Diana
East,Electronics,797,5378,Alice
South,Clothing,1161,3522,Alice
West,Furniture,347,2882,Diana
North,Furniture,2019,4703,Ethan
East,Electronics,1711,7231,Charlie
West,Clothing,8432,2383,Charlie
West,Furniture,4292,1991,Alice
South,Clothing,5874,2815,Bob
East,Clothing,3763,2565,Ethan
East,Electronics,1477,9814,Diana
North,Clothing,7255,2666,Charlie
East,Clothing,6718,8946,Alice
North,Electronics,2963,3838,Bob
East,Furniture,9842,9755,Charlie
South,Food,9099,7254,Bob
East,Clothing,4730,5432,Ethan
North,Electronics,2412,2935,Bob
North,Furniture,8963,5402,Bob
South,Clothing,8596,7082,Alice
East,Food,4979,7451,Bob
East,Furniture,1411,2877,Ethan
South,Electronics,7942,6344,Alice
East,Clothing,4496,5294,Bob
East,Electronics,8427,1420,Alice
North,Food,6731,2798,Bob
East,Food,3412,3807,Diana
East,Electronics,2951,3810,Charlie
South,Clothing,3132,6402,Alice
South,Electronics,2506,9014,Charlie
West,Furniture,3165,7960,Diana
North,Electronics,7719,6756,Alice
East,Food,9533,7706,Charlie
East,Clothing,7986,9343,Ethan
West,Clothing,8422,5524,Charlie
East,Food,726,4947,Diana
North,Food,387,6920,Diana
West,Furniture,5986,9397,Ethan
North,Food,2807,1586,Alice
West,Food,2203,1537,Charlie
West,Food,2481,5979,Diana
South,Clothing,1734,9651,Diana
North,Food,9887,5728,Diana
East,Electronics,8978,2768,Alice
East,Electronics,1711,9271,Charlie
North,Clothing,4162,8435,Bob
East,Furniture,5613,4118,Alice
East,Furniture,8132,4845,Bob
North,Clothing,5383,5873,Diana
West,Electronics,6029,5225,Charlie
North,Clothing,9286,8761,Ethan
West,Food,1501,8311,Charlie
East,Clothing,6291,9133,Ethan
East,Furniture,1653,2933,Charlie
East,Electronics,6844,6822,Charlie
South,Furniture,3670,4591,Bob
West,Furniture,6395,9699,Ethan
South,Electronics,8951,6222,Ethan
South,Food,1064,7061,Ethan
North,Electronics,1087,4666,Charlie
South,Electronics,8904,6486,Bob
North,Clothing,7466,6878,Bob
North,Electronics,2230,9001,Charlie
South,Clothing,7321,7180,Alice
West,Furniture,9568,1770,Diana
West,Electronics,5066,8659,Charlie
West,Food,3606,1443,Alice
West,Clothing,7819,8265,Ethan
West,Clothing,8520,3415,Charlie
South,Food,1118,4819,Diana
South,Clothing,9512,7816,Bob
East,Clothing,5390,1750,Diana
West,Food,2979,4884,Diana
South,Furniture,6757,9623,Bob
